Land;Stadt;Kategorie;"PLZ-
Bereich";Merkmal;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
de-sh;Kiel;Bevoelkerung;24103;Jahr;10.141;10.350;10.774;10.933;11.058;11.195;11.236;11.413;11.566;11707;11926;11903
de-sh;Kiel;Bevoelkerung;24105;Jahr;19.466;19.219;20.040;20.091;20.330;20.568;20.778;20.925;20.848;20805;20693;20590
de-sh;Kiel;Bevoelkerung;24106;Jahr;17.724;17.411;17.904;18.383;18.699;18.602;18.813;19.317;19.737;19656;19695;19561
de-sh;Kiel;Bevoelkerung;24107;Jahr;7.775;8.680;9.278;9.451;9.449;9.427;9.427;9.436;9.414;9396;9339;9314
de-sh;Kiel;Bevoelkerung;24109;Jahr;21.189;21.389;21.781;21.795;21.929;21.928;22.222;22.553;22.812;22883;22835;22698
de-sh;Kiel;Bevoelkerung;24111;Jahr;7.298;7.513;7.297;7.173;7.160;7.077;7.087;7.057;7.113;7076;7066;7054
de-sh;Kiel;Bevoelkerung;24113;Jahr;17.203;17.066;17.162;17.160;17.259;17.258;17.328;17.447;17.439;17551;17536;17668
de-sh;Kiel;Bevoelkerung;24114;Jahr;13.217;13.371;13.789;14.096;14.261;14.316;14.475;14.678;14.836;14892;14921;14769
de-sh;Kiel;Bevoelkerung;24116;Jahr;11.143;11.353;11.711;11.797;11.983;12.129;12.168;12.181;12.202;12170;12255;12137
de-sh;Kiel;Bevoelkerung;24118;Jahr;10.620;11.008;11.581;11.760;11.955;11.998;12.081;12.246;12.386;12423;12182;12160
de-sh;Kiel;Bevoelkerung;24143;Jahr;20.040;20.212;20.520;20.627;20.788;21.236;22.034;22.700;23.407;23393;23097;22960
de-sh;Kiel;Bevoelkerung;24145;Jahr;9.555;10.291;11.490;11.622;11.815;11.976;12.122;12.444;12.579;12723;12687;12708
de-sh;Kiel;Bevoelkerung;24146;Jahr;10.858;10.768;10.604;10.710;10.628;10.612;10.600;10.739;10.826;10786;10764;10755
de-sh;Kiel;Bevoelkerung;24147;Jahr;6.488;6.677;6.491;6.503;6.499;6.463;6.410;6.423;6.343;6401;6487;6477
de-sh;Kiel;Bevoelkerung;24148;Jahr;13.476;13.354;13.832;13.774;13.848;13.829;13.880;14.015;14.311;14355;14391;14373
de-sh;Kiel;Bevoelkerung;24149;Jahr;11.996;11.877;11.914;11.866;11.920;11.910;12.005;12.173;12.631;12731;12677;12742
de-sh;Kiel;Bevoelkerung;24159;Jahr;20.855;20.358;19.840;19.843;19.739;19.775;19.674;20.522;20.573;20242;20241;19908
